set_vel,odometry_vel
0,0
0,0
0,0
0,0
0,0
0,0
0.0585938,0
0.193848,0
0.280762,0
0.464844,0
0.69043,0
0.920898,0
1.10205,0
1.24902,0
1.46045,0
1.58594,0
1.70264,0.0360289
1.7876,0.0229569
1.83057,0.0409639
1.96289,0.081952
2.04248,0.104874
2.1167,0.140914
2.15186,0.163861
2.16504,0.286816
2.18164,0.327925
2.14893,0.432366
2.17188,0.550619
2.10352,0.647592
1.99512,0.918914
1.8916,0.688345
1.89551,1.19138
1.90479,1.50209
1.94189,1.78456
1.8999,0.882711
1.95361,1.78667
1.99219,2.29342
1.9707,2.43621
1.97412,2.12283
1.98633,2.42823
1.9541,2.41638
1.9834,1.8293
1.99414,2.90914
1.99072,2.97406
2.03955,2.29336
2.02148,3.06356
2.04834,1.92829
2.06543,3.10492
2.08105,3.21113
2.05371,2.60512
2.05566,3.30527
2.07861,2.15591
2.06445,3.21575
2.09277,3.36442
2.08301,2.79865
2.09033,3.43304
2.10107,2.04926
2.2207,4.09704
2.23438,3.36921
2.23291,2.73761
2.25635,2.42471
2.2998,2.47297
2.47412,3.43968
2.47559,3.1821
2.53174,2.94257
2.57324,2.5994
2.5874,3.16909
2.58008,3.58374
2.55176,2.91213
2.61279,3.67429
2.61133,2.41574
2.65527,3.83312
2.65186,3.49707
2.64014,3.58042
2.54883,2.72471
2.49072,4.00488
2.34521,3.84113
2.44873,3.57944
2.47461,2.86493
2.61914,4.11993
2.62402,3.67658
2.62891,3.85317
2.63281,2.78338
2.66748,4.1195
2.63818,4.24256
2.64795,3.24648
2.63477,2.8655
2.67822,4.20136
2.68066,3.46429
2.67188,4.12972
2.68652,2.97066
2.70996,4.24204
2.6626,3.56901
2.6626,3.72974
2.66797,3.53889
2.68311,4.31678
2.66357,3.74654
2.70752,3.13189
2.72021,4.35722
2.72412,4.09094
2.70703,4.12462
2.67529,3.15136
2.66064,4.51657
2.66455,3.76753
2.68506,3.7289
2.66992,3.89211
2.69873,4.44718
2.68018,3.76052
2.69336,3.09878
2.69531,4.4288
2.67529,3.69335
2.69043,4.33424
2.69141,3.0282
2.70947,4.37066
2.59033,3.58692
2.60596,3.65076
