set_vel,odometry_vel
0,0
0,0
0,0
0,0
2.51221,2.53275
2.50342,3.08236
2.51465,2.76228
2.50977,4.58057
2.50879,2.65058
2.50488,2.58587
2.52588,2.26425
2.49365,3.86315
2.4834,2.6707
2.49121,2.99897
2.49463,2.66456
2.49512,3.82439
2.49756,2.78002
2.49902,3.02047
2.50391,2.62954
2.4834,3.87909
2.48926,2.68375
2.50146,3.02657
2.52441,2.68045
2.51221,3.82818
2.51514,2.63044
2.52002,3.28157
2.5,2.35587
2.50684,3.92799
2.51562,2.53193
2.53223,3.25405
2.52539,2.08198
2.51758,3.84134
2.51074,2.65952
2.51904,3.27556
2.52002,1.86252
2.51855,3.79188
2.52881,2.92679
2.52246,3.37716
2.51367,1.78007
2.51758,3.66768
2.52295,3.34011
2.51025,3.02676
2.51514,2.02098
2.52441,3.50752
2.50342,3.68342
2.49902,2.83293
2.49121,2.17756
2.50195,3.49179
