set_vel,odometry_vel
2.96631,4.72012
2.97852,3.95899
2.97461,3.59055
2.98682,4.52795
2.98633,4.0854
3.00391,4.41208
2.98828,3.96743
2.99072,4.78264
2.99365,4.44675
2.99121,3.64427
2.98438,5.0077
3.02783,4.27432
3.05908,3.63316
3.06396,4.96813
3.05469,4.2223
3.06445,3.81703
3.05371,4.78969
3.04736,4.42477
3.05957,4.36769
3.05908,4.36578
3.0874,4.48982
3.13818,4.62089
3.15723,3.54816
3.16211,4.94932
3.18066,4.3054
3.19727,3.48804
3.1875,4.94755
3.18848,4.13728
3.18896,3.73529
3.17383,4.65064
3.16895,4.22788
3.16602,4.45417
3.13916,4.11411
3.13477,4.72691
3.13867,4.76704
3.13037,3.70762
3.13379,5.11196
3.12744,4.52835
3.11865,3.66527
3.11182,5.13472
3.10596,4.66025
3.0625,3.94875
3.03564,5.21238
2.93311,4.63042
2.63867,3.83862
2.18262,5.22609
1.86182,4.63482
1.42236,3.84934
1.0791,4.99025
0.970703,4.23258
0.98877,3.93065
0.871582,4.2147
0.474609,4.3143
0.246094,4.14703
0.0498047,3.08806
0.0512695,4.31019
0,3.47237
0,3.99403
0,2.67614
0,3.89694
0,3.08338
0,3.81132
0,2.13128
0,3.46815
0,3.41116
0,2.66536
0,3.15737
0,2.33016
0,2.36611
0,2.94383
0,2.16952
0,2.84653
0,1.5852
0,2.26343
0,2.97334
0,2.36267
0,1.71043
0,2.2721
0,1.91385
0,0.738584
0,1.70944
0.0844727,1.80215
0.205078,1.77485
0.369629,1.59758
0.607422,1.53666
0.970215,0.730517
1.24854,1.44202
1.49561,1.30106
1.66797,1.21951
1.71729,0.833868
1.71924,0.522458
1.72412,0.647227
1.70752,0.697839
1.60303,1.09582
1.44482,1.15028
1.45068,1.02939
1.34814,1.29122
1.24854,1.35491
1.11914,1.3682
1.08301,0.955176
1.09619,0.982684
1.16699,1.41545
1.19727,1.34881
1.20117,1.27847
1.12646,0.753153
1.07178,0.702777
1.00342,0.853592
1.00098,1.28634
1.03369,1.31015
