set_vel,odometry_vel
0,0
0,0
0,0
0,0
0.0751953,0
0.360352,0
0.547852,0
0.756348,0
0.960938,0
1.16211,0
1.34326,0
1.50195,0
1.62695,0
1.81348,0
1.97217,0
2.20117,0
2.28955,0.0229562
2.50391,0
2.65186,0
2.71631,0.0589944
2.74414,0.0639072
2.69141,0.0589852
2.70703,0.104891
2.74707,0.16392
2.70117,0.222797
2.64502,0.328054
2.62598,0.473593
2.57715,0.595976
2.42822,0.452056
2.25439,0.656978
2.21143,1.19815
2.19531,1.51564
2.0415,1.50937
1.96387,0.907612
1.95703,1.96469
1.88232,2.35803
1.76416,2.41751
1.73486,1.78657
1.74805,2.573
1.83105,2.17546
1.92383,1.7043
1.93115,2.82844
1.89404,2.84846
1.89648,2.30699
1.86475,2.92298
1.86035,1.80703
1.87354,2.83818
1.87451,3.11354
1.99219,2.74766
1.96777,2.79161
1.98193,2.33407
2.00244,2.41675
1.98926,3.13154
2.02441,3.09662
2.07227,2.44385
2.07373,2.70061
2.07764,2.04971
2.05029,3.17167
2.10547,3.16179
2.10547,2.37832
2.1001,3.03933
2.13037,1.81502
2.12354,3.25937
2.18604,3.8933
2.19629,1.86877
2.16064,3.15487
2.19434,1.91479
2.18164,3.40045
2.22656,3.37894
2.25537,2.69267
2.24951,2.95552
2.25391,2.51365
2.26416,3.56376
2.25928,3.05452
2.29346,3.39445
2.30176,2.38307
2.3291,3.6597
2.3125,3.74622
2.29346,3.15072
2.18164,3.03314
2.28418,3.16242
2.27783,3.8101
2.28711,3.09851
2.27051,3.5735
2.28076,2.5943
2.23584,3.82792
2.22949,3.19548
2.19482,3.68217
2.12256,2.37048
2.146,3.64117
2.15332,3.62398
2.17627,2.98516
2.17871,2.84951
2.26172,2.74546
2.26709,3.47627
2.28955,2.8716
2.27344,3.26485
2.28174,2.2469
2.30566,3.05269
2.31885,3.44138
2.34619,2.64786
2.2793,3.35128
2.27539,2.08757
2.2832,3.22707
2.2666,3.52359
2.27734,2.74698
2.23096,3.14712
2.24414,2.39605
2.23193,3.64047
2.23877,3.14768
2.18115,3.27889
2.1499,2.38398
2.13574,3.48219
1.93164,3.66544
1.56592,2.86968
0.879395,3.27229
0.304688,2.41153
0,3.48402
