set_vel,odometry_vel
0,0
0,0
0,0
0,0
0,0
1.48145,2.29421
1.50684,2.27794
1.5083,1.30159
1.50879,2.2352
1.50342,1.71897
1.50928,1.22527
1.47363,2.1205
1.48535,2.21302
1.48828,2.17066
1.50684,1.54522
1.48779,1.94196
1.50537,2.08234
1.52344,1.10671
1.52148,1.7353
1.47412,2.17088
1.47998,2.17204
1.51465,2.12245
1.48389,1.36406
1.4834,2.19412
1.50391,1.60932
1.51172,1.23038
1.52441,2.16175
1.47852,2.19367
1.48535,2.19429
1.48779,1.49432
1.47656,2.07458
1.49707,2.18261
1.51465,0.964048
1.49414,2.07446
1.51855,2.27126
1.5127,2.25335
1.50879,2.00168
1.46094,1.68038
1.49121,2.25324
1.51562,1.21382
1.50098,1.68452
1.48193,2.25455
1.51855,2.23029
1.5249,2.21606
1.51172,1.29264
