set_vel,odometry_vel
0,0
0,0
0,0
0,0
2.99805,4.7263
2.98389,4.13339
2.97559,3.21056
2.98633,4.53577
2.99365,4.01879
3.00391,3.4541
2.98438,4.09524
2.98975,4.36277
3.01123,4.15133
2.95947,2.97704
2.97705,4.33437
2.97998,3.78742
3.00098,3.76028
2.99463,3.59922
3.01123,4.33587
3.02637,3.67114
2.99902,2.88736
2.97998,4.0832
2.9834,3.993
2.98975,3.80557
2.9873,2.69884
2.99609,4.05871
3.02295,3.57546
3.03076,3.99863
2.9707,2.50578
3.00391,3.93217
2.96045,3.46986
2.97705,3.94685
2.98389,2.31267
3.00244,3.82358
3.01758,3.51319
3.02148,3.54748
3.02686,2.53777
2.99756,3.61567
2.979,3.75586
2.97803,3.0939
3.00635,2.65051
2.99121,3.3861
2.99756,3.51064
3.02344,2.93095
3.02588,3.52888
2.94678,2.29914
2.94678,2.29914
