set_vel,odometry_vel
0,0
0,0
0,0
0,0
1.56543,0
1.5625,2.18917
1.56689,0.868069
1.56445,1.86583
1.55371,2.32255
1.55469,2.35774
1.55713,1.25977
1.55469,1.96154
1.55273,1.80139
1.55127,0.84344
1.55176,2.02365
1.55957,2.80344
1.55371,1.88982
1.54639,1.055
1.55078,2.10838
1.54834,1.73233
1.53809,0.944811
1.54639,2.02854
1.54736,2.33469
1.55127,2.29468
1.55664,1.08788
1.55664,1.98969
1.55127,1.75947
1.54688,0.881107
1.54785,2.0607
1.55469,2.20335
1.55029,2.27124
1.54932,1.0501
1.56641,1.78626
1.56104,2.0008
1.5498,0.760339
1.54297,1.81716
1.56055,2.15763
1.56006,2.21217
1.56494,1.38451
1.56006,1.85164
1.56299,2.0251
1.55762,0.721818
1.5625,1.29445
1.54883,2.54143
1.56592,2.22921
1.58057,1.55866
1.55762,1.42241
1.55859,2.22025
1.56641,0.858276
1.56982,1.18916
1.57471,2.17141
1.58496,2.35314
1.5542,1.98766
1.55762,1.17481
1.56641,2.37611
1.56934,1.10095
1.57178,1.52033
1.57129,2.29437
1.58203,2.35322
1.57715,1.74602
1.56006,1.55748
1.5752,2.33027
1.57373,0.866419
1.56055,1.85513
1.56543,2.31296
1.57227,2.44047
1.57178,1.30389
1.56934,1.96713
1.5708,1.93075
1.5708,0.83198
1.57227,2.29324
1.57031,2.3666
